StudentID,Name,DOB,Grade,AttendancePercent,Maths,Physics,Chemistry,Biology,English,History,Geography,Computer,SportsScore,BehaviorScore,ParentContact,AdmissionDate,Scholarship,ExtraCurricular,Remarks
S500000,Student Eiewrhoo,2000-12-10,A,76.81,94,85,67,17,38,14,60,2,43,0,918234195527,2018-06-09,No,Sports,Remark Vjllbkhqz
S500001,Otudent Fifkakk,2000-01-20,A,83.78,59,39,73,13,17,59,65,93,40,9,919829039652,2018-11-25,No,Music,Remark Uioccolyoh
S500002,Student Plwbkuqgrm,2000-03-04,C,98.61,56,86,65,9,81,4,46,65,42,6,917808361349,2019-05-11,No,Sports,Remark Kxjv Lkx
S500003,Student Lexygvrm,2000-12-18,F,81.85,15,21,10,73,14,9,25,18,33,2,918345620780,2019-03-16,No,Unknown,Remark Ihiesaxclfujoh
S500004,Student Pqmwxoppsxc,2000-01-20,B,87.96,29,65,35,58,41,73,71,98,39,0,918943806916,2019-01-06,No,Sports,Remarkrsjmoiz
S500005,Student Ymrzp,2000-12-10,D,67.78,76,69,84,87,66,43,39,7,24,6,917998353814,2018-10-13,No,Music,Remark V Xujvvubgzna
S500006,Student Xfwrvfe,2000-01-20,F,86.24,73,96,90,12,23,9,80,73,25,7,919054918782,2019-01-06,Yes,Music,Remark Pahejsboktx
S500007,Student Byhfj,2000-12-16,F,48.2,11,54,12,38,53,76,97,53,20,6,917976948695,2019-02-05,No,Sports,Remark Kfvynuhcnxdjg
S500008,Student Slksicmrxm,2000-01-20,D,76.19,62,11,79,17,65,1,50,14,28,7,919098308196,2018-10-28,Yes,Sports,Remark Dkkgztjlrpgecp
S500009,Student Fdipbcxoor,2000-02-01,F,74.72,76,90,91,85,28,60,3,11,21,6,918628749320,2019-01-06,No,Music,Remark Otxao
S500010,Student Wkyjsro,2000-02-01,A,71.53,91,93,85,2,88,3,75,3,40,5,917937264154,2018-07-06,No,Art,Remark Rghwn
S500011,Student Jtyfbb,2000-03-25,F,47.09,6,29,64,56,88,85,60,62,0,1,919649508515,2018-10-13,Yes,Art,Remark Iwjcqiubi
S500013,Student Kfztepmsrsjewa,2000-04-25,A,87.86,19,56,92,61,15,68,56,41,22,5,919423528398,2018-10-28,No,Unknown,Remark Qte Uyjd
S500014,Student Isbmcr,2000-12-18,D,71.67,51,74,21,80,93,25,95,20,1,7,917262802461,2019-02-05,No,Sports,Remark Wqazbkhrdpivecs
S500015,Student Pbzzmfk,2000-05-27,D,49.1,10,50,94,27,86,84,80,20,28,3,917338599647,2018-10-28,No,Music,Remark Bq Xzku
S500016,Student Qfcyykgnoz,2000-05-27,C,75.83,25,25,99,84,81,20,59,91,3,8,918974738391,2018-12-09,Yes,Music,Remark P Mmrbf
S500017,Student Ekzgnyjqbwifqc,2000-09-15,A,61.76,89,29,97,77,79,94,33,29,30,9,917511239550,2018-07-07,No,Unknown,Remark Jbgrqjanqitcrjv
S500018,Student Zawamviqlf,2000-02-01,B,40.71,93,51,81,98,40,78,90,37,27,7,918744104243,2019-01-06,No,Unknown,Remark Qytocwerssxc
S500019,Studert Agjbmphspz,2000-12-18,D,85.83,49,64,2,58,53,30,87,84,21,3,918374759374,2019-05-24,No,Art,Remark Lxxyub Azgwuzfr
